,Player,Nation,Pos,Age,MP,Starts,Min,Goals Scored,Assists,Goals Contribution,PK,Attempted PK,Yellow Cards,Red Cards,xG,xAG,Progressive Passes,Total Shorts,Shorts on Target,Completed Passes,Attended Passes,Free Kick,Through Balls,Crosses,Throw Ins,Corner Kicks,Tackles,Tackels Won,Blocks,Interceptions,Clearance,Errors,Substitue,Unused Substitue,Fouls Committed,Fouls drawn,Offsides
0,Marc Cucurella,ESP,DF,26,30,27,2479,4,2,6,0,0,8,1,1.9,1.7,84,19,5,1226,1375,22,2,26,157,0,46,35,35,22,51,3,3,2,30,30,3
1,Cole Palmer,ENG,MF,22,28,28,2459,14,6,20,3,3,4,0,14.2,8.4,154,97,37,845,1112,40,18,118,13,70,20,12,13,8,11,1,0,2,12,53,7
2,Moisés Caicedo,ECU,MF,23,28,28,2451,1,2,3,0,0,10,0,0.6,2.6,136,13,2,1444,1615,29,9,8,16,0,78,50,36,36,38,0,0,1,57,39,0
3,Levi Colwill,ENG,DF,22,25,25,2249,1,1,2,0,0,6,0,0.7,1.0,105,9,2,1753,1953,57,3,10,5,0,32,21,28,26,78,3,0,7,25,17,3
4,Enzo Fernández,ARG,MF,24,29,24,2198,4,8,12,0,0,6,0,4.1,4.8,144,37,14,1105,1357,41,12,73,3,49,53,29,26,13,16,4,5,3,41,40,1
5,Robert Sánchez,ESP,GK,27,22,22,1980,0,0,0,0,0,5,0,0.0,0.0,1,0,0,628,857,49,0,0,0,0,0,0,0,2,15,7,0,12,2,2,0
6,Nicolas Jackson,SEN,FW,23,23,22,1736,9,5,14,0,0,5,0,11.4,4.0,27,63,30,231,308,1,1,3,2,0,17,10,12,2,15,0,1,2,21,23,15
7,Malo Gusto,FRA,DF,21,26,19,1726,0,2,2,0,0,3,0,1.6,1.0,91,19,3,999,1154,34,1,46,109,0,40,29,26,19,38,4,7,2,18,17,1
8,Pedro Neto,POR,FW,24,30,20,1715,5,4,9,0,0,6,0,1.9,4.0,31,41,14,410,522,8,0,98,8,16,14,9,9,8,3,0,10,2,18,22,3
9,Tosin Adarabioyo,ENG,DF,27,21,17,1626,4,1,5,0,0,2,0,0.8,0.2,27,17,5,803,876,15,1,0,4,0,13,15,7,11,47,0,4,15,7,3,1
